run,t,M1_gcm_aoi_dist,M2_angle_std,M3_defender_angle,sigmaR,muOmega,thetaOmega,clustered,anyWithin5,allBeyond20,defenderBetween,chosenBC
1,37,13.5745,0.0568744,0.65323,1.18407,0,0,1,0,0,1,9
1,38,13.6161,0.0746471,0.687309,1.12189,0,0,1,0,0,1,5
1,39,13.7228,0.0896076,0.829332,0.887378,0,0,1,0,0,1,8
1,40,13.8718,0.0894865,0.707975,0.991401,0,0,1,0,0,1,6
1,41,14.3045,0.0794735,0.761577,0.853559,0,0,1,0,0,1,1
1,42,14.4424,0.0737861,0.0296209,0.932395,0,0,1,0,0,1,5
1,43,14.5378,0.0743825,0.0329144,1.06173,0,0,1,0,0,1,8
1,44,14.4297,0.0774234,0.0310097,0.97633,0,0,1,0,0,1,5
1,45,14.4165,0.080579,0.00995483,0.700572,0,0,1,0,0,1,9
1,46,14.3548,0.0637566,0.0128056,0.96127,0,0,1,0,0,1,2
1,47,14.489,0.0537362,0.0122562,1.02647,0,0,1,0,0,1,1
1,48,14.8026,0.0758316,0.0133607,0.924308,0,0,1,0,0,1,2
1,49,14.9716,0.0770179,0.012895,0.904362,0,0,1,0,0,1,8
1,50,15.1616,0.0691089,2.16609,1.05245,0,0,1,0,0,0,4
1,51,15.2587,0.056329,0.148903,1.02664,0,0,1,0,0,1,1
1,52,14.9816,0.0651073,0.0133739,1.14793,0,0,1,0,0,1,8
1,53,14.9064,0.067146,0.521141,0.955948,0,0,1,0,0,1,8
1,54,14.7379,0.0753046,0.0150095,0.960983,0,0,1,0,0,1,8
1,55,14.3981,0.0915518,0.0205879,1.0509,0,0,1,0,0,1,10
1,56,14.3344,0.0790975,0.00032993,0.975145,0,0,1,0,0,1,5
1,57,14.1913,0.0551384,0.00385781,0.875599,0,0,1,0,0,1,2
1,58,14.2639,0.0742046,0.00326749,0.938821,0,0,1,0,0,1,2
1,59,14.2667,0.0939058,0.0140881,1.03107,0,0,1,0,0,1,8
1,60,14.1918,0.0633531,0.0151187,1.30457,0,0,1,0,0,1,2
1,61,14.3488,0.0489444,0.000136948,1.15394,0,0,1,0,0,1,1
1,62,14.6909,0.0627974,0.00635581,0.842572,0,0,1,0,0,1,2
1,63,15.0532,0.077401,0.0286435,0.599221,0,0,1,0,0,1,9
1,64,15.2527,0.073731,0.0210168,0.866772,0,0,1,0,0,1,5
1,65,15.5721,0.0750381,0.022456,1.25528,0,0,1,0,0,1,8
1,66,15.5896,0.0592114,0.000977474,1.08779,0,0,1,0,0,1,5
1,67,15.8476,0.0668988,0.0402378,0.517066,0,0,1,0,0,1,1
1,68,16.1865,0.0848487,0.0223531,0.678128,0,0,1,0,0,1,9
1,69,16.5539,0.0777917,0.025434,1.0611,0,0,1,0,0,1,8
1,70,16.7588,0.0555321,0.0206005,1.10874,0,0,1,0,0,1,1
1,71,16.9348,0.0519159,0.00838451,1.06297,0,0,1,0,0,1,8
1,72,17.2525,0.0539517,0.000281881,0.86245,0,0,1,0,0,1,3
1,73,17.4508,0.0519151,0.0206412,1.05734,0,0,1,0,0,1,1
1,74,17.547,0.0535736,0.0114284,1.00896,0,0,1,0,0,1,9
1,75,17.8902,0.0645935,0.0218905,0.948574,0,0,1,0,0,1,3
1,76,18.0155,0.0585956,0.004911,0.99317,0,0,1,0,0,1,1
1,77,18.0408,0.0532436,0.0135654,0.798484,0,0,1,0,0,1,8
1,78,17.8494,0.0621424,0.0114058,0.804558,0,0,1,0,0,1,8
1,79,17.3987,0.0634082,0.00470394,1.07193,0,0,1,0,0,1,5
1,80,17.1562,0.0538546,0.0215543,1.18515,0,0,1,0,0,1,1
1,81,17.2023,0.0475858,0.00587417,0.937422,0,0,1,0,0,1,1
1,82,17.1787,0.0527593,0.0201217,0.51103,0,0,1,0,0,1,1
1,83,17.7296,0.0592372,0.0147559,0.84113,0,0,1,0,0,1,3
1,84,18.0125,0.0592407,0.00794929,1.03525,0,0,1,0,0,1,5
1,85,17.9883,0.0516618,0.000452036,1.09159,0,0,1,0,0,1,2
1,86,18.3028,0.0576989,0.016112,0.986339,0,0,1,0,0,1,8
1,87,18.312,0.0806992,0.256916,0.929121,0,0,1,0,0,1,9
1,88,18.2605,0.0697674,0.0866415,1.00543,0,0,1,0,0,1,5
1,89,18.1399,0.0535458,0.0885567,1.00433,0,0,1,0,0,1,2
1,90,18.1027,0.0425995,0.0281145,0.975167,0,0,1,0,0,1,1
1,91,18.1904,0.0621693,0.0027713,1.06599,0,0,1,0,0,1,6
1,92,17.8418,0.0544169,0.0051505,1.14185,0,0,1,0,0,1,8
1,93,17.4009,0.0539682,0.295924,1.03703,0,0,1,0,0,1,10
1,94,17.2451,0.0676672,0.588032,0.875951,0,0,1,0,0,1,6
1,95,16.905,0.069072,0.0796763,0.893198,0,0,1,0,0,1,8
1,96,16.7634,0.064991,0.208361,0.869388,0,0,1,0,0,1,4
1,97,16.5463,0.0696488,0.0116136,0.692277,0,0,1,0,0,1,7
1,98,16.5087,0.0753248,0.02421,0.696051,0,0,1,0,0,1,5
1,99,16.5863,0.0683797,0.0432142,1.07113,0,0,1,0,0,1,8
1,100,16.7498,0.0437605,0.0011523,1.06665,0,0,1,0,0,1,1
1,101,16.8081,0.0547008,0.0536877,1.09082,0,0,1,0,0,1,7
1,102,16.7722,0.0835598,0.0322208,0.80982,0,0,1,0,0,1,8
1,103,16.8621,0.0852622,0.168382,0.560118,0,0,1,0,0,1,8
1,104,16.888,0.0806166,0.174212,0.969241,0,0,1,0,0,1,8
1,105,16.9992,0.0702176,0.0473694,0.87704,0,0,1,0,0,1,5
1,106,16.8092,0.0555588,0.0147373,0.649847,0,0,1,0,0,1,7
1,107,16.7229,0.0553275,0.0160027,0.93264,0,0,1,0,0,1,1
1,108,16.8501,0.0674418,0.00630439,1.16208,0,0,1,0,0,1,8
1,109,16.7157,0.0813128,0.00661607,0.982017,0,0,1,0,0,1,8
1,110,16.7535,0.0838847,0.00324992,0.883963,0,0,1,0,0,1,8
1,111,16.8358,0.0774948,2.24886,0.740837,0,0,1,0,0,0,4
1,112,16.5803,0.0501592,0.159528,1.01831,0,0,1,0,0,1,10
1,113,16.4014,0.0541663,0.309382,1.07522,0,0,1,0,0,1,7
1,114,16.2327,0.0708866,0.104836,0.911438,0,0,1,0,0,1,7
1,115,16.021,0.0727644,0.0999695,0.868041,0,0,1,0,0,1,2
1,116,15.742,0.0664073,0.012558,1.18145,0,0,1,0,0,1,1
1,117,15.5696,0.0727051,0.0040116,0.841497,0,0,1,0,0,1,9
1,118,15.3455,0.081243,0.00682472,0.544909,0,0,1,0,0,1,8
1,119,15.3904,0.0785599,0.000610819,0.920197,0,0,1,0,0,1,5
1,120,15.4744,0.0504375,0.0146687,1.19299,0,0,1,0,0,1,1
